Date,state
1993-02-01 00:00:00,HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  iH20-1  :  iH50-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-1  :  sma200-consec-1,
1993-02-02 00:00:00,dow-1  :  HH-2  :  HL-2  :  cc-dir-1  :  co-dir-2  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-2  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  iH20-1  :  iH50-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-2  :  sma20-consec-2  :  sma50-consec-2  :  sma200-consec-2,
1993-02-03 00:00:00,dow-2  :  HH-3  :  HL-3  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-3  :  co-dir-consec-1  :  oc-dir-consec-3  :  gap-filled-1  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  iH20-1  :  iH50-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-3  :  sma20-consec-3  :  sma50-consec-3  :  sma200-consec-3,
1993-02-04 00:00:00,dow-3  :  HH-4  :  HL-4  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-4  :  co-dir-consec-2  :  oc-dir-consec-4  :  gap-filled-2  :  H10-1  :  H20-1  :  H50-1  :  iH10-1  :  iH20-1  :  iH50-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-4  :  sma20-consec-4  :  sma50-consec-4  :  sma200-consec-4,
1993-02-05 00:00:00,dow-4  :  IB-1  :  HL-5  :  LH-1  :  cc-dir-2  :  co-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-3  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-5  :  sma20-consec-5  :  sma50-consec-5  :  sma200-consec-5,
1993-02-08 00:00:00,HH-1  :  HL-6  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-6  :  sma20-consec-6  :  sma50-consec-6  :  sma200-consec-6,
1993-02-09 00:00:00,dow-1  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-7  :  sma20-consec-7  :  sma50-consec-7  :  sma200-consec-7,
1993-02-10 00:00:00,dow-2  :  LH-2  :  LL-2  :  cc-dir-1  :  oc-dir-1  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-8  :  sma20-consec-8  :  sma50-consec-8  :  sma200-consec-8,
1993-02-11 00:00:00,dow-3  :  HH-1  :  HL-1  :  cc-dir-1  :  co-dir-1  :  oc-dir-1  :  cc-dir-consec-2  :  co-dir-consec-1  :  oc-dir-consec-2  :  gap-filled-1  :  sma10-1  :  sma20-1  :  sma50-1  :  sma200-1  :  sma10-consec-9  :  sma20-consec-9  :  sma50-consec-9  :  sma200-consec-9,
1993-02-12 00:00:00,dow-4  :  LH-1  :  LL-1  :  cc-dir-2  :  co-dir-2  :  oc-dir-2  :  cc-dir-consec-1  :  co-dir-consec-1  :  oc-dir-consec-1  :  gap-filled-1  :  sma10-2  :  sma20-2  :  sma50-2  :  sma200-2  :  sma10-consec-1  :  sma20-consec-1  :  sma50-consec-1  :  sma200-consec-1,
